scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,3119540,3147519,3133997,25000,0.001351,0.00122,0.00836,0.743384
scaffold_1,3147520,3179479,3161749,25000,0.000968,0.000906,0.015488,0.890967
scaffold_1,3179480,3217417,3202645,25000,0.00118,0.001241,0.010428,0.800335
scaffold_1,3217418,3251797,3233872,25000,0.001781,0.001543,0.00681,0.619817
scaffold_1,3251798,3278783,3264993,25000,0.001104,0.001035,0.019649,0.901378
scaffold_1,3278784,3307180,3293594,25000,0.000926,0.000942,0.014254,0.882418
scaffold_1,3307181,3336170,3322937,25000,0.000862,0.000921,0.009772,0.839755
scaffold_1,3336171,3361943,3348975,25000,0.001692,0.001734,0.019789,0.847396
scaffold_1,3361944,3387594,3374732,25000,0.000512,0.000749,0.012462,0.908061
scaffold_1,3387595,3414213,3400768,25000,0.001974,0.00219,0.00914,0.638571
scaffold_1,3414214,3440117,3427190,25000,0.001922,0.001811,0.007871,0.624133
scaffold_1,3440118,3468219,3455004,25000,0.000701,0.000712,0.013748,0.906718
scaffold_1,3468220,3494114,3481151,25000,0.001022,0.001108,0.009018,0.797196
scaffold_1,3494115,3520897,3507373,25000,0.001617,0.001604,0.016147,0.826145
scaffold_1,3520898,3546770,3533858,25000,0.001359,0.001269,0.007677,0.718242
scaffold_1,3546771,3591313,3563919,25000,0.001149,0.001144,0.011907,0.830741
scaffold_1,3591314,3617628,3604563,25000,0.001777,0.0017,0.003176,0.29478
scaffold_1,3617629,3647841,3631939,25000,0.001231,0.001526,0.015442,0.842965
scaffold_1,3647842,3673239,3660603,25000,0.000651,0.00065,0.005447,0.795157
scaffold_1,3673240,3702390,3688451,25000,0.001004,0.00109,0.003819,0.582148
scaffold_1,3702391,3727589,3715052,25000,0.001696,0.001704,0.00153,-0.055693
scaffold_1,3727590,3752743,3740130,25000,0.001626,0.001791,0.001554,-0.050078
scaffold_1,3752744,3777961,3765313,25000,0.00159,0.001587,0.001428,-0.056251
scaffold_1,3777962,3806231,3791814,25000,0.001274,0.001301,0.001158,-0.056045
scaffold_1,3806232,3836684,3821549,25000,0.00241,0.002282,0.002143,-0.047646
scaffold_1,3836685,3864739,3850366,25000,0.002579,0.002585,0.002402,-0.03801
scaffold_1,3864740,3913899,3895075,25000,0.001067,0.001051,0.000953,-0.055904
scaffold_1,3913900,3940945,3927091,25000,0.001825,0.001789,0.001775,-0.009428
scaffold_1,3940946,3976920,3955555,25000,0.000988,0.000916,0.003757,0.607954
scaffold_1,3976921,4002351,3989603,25000,0.001407,0.001405,0.005927,0.628564
scaffold_1,4002353,4052885,4020095,25000,0.000755,0.00105,0.013,0.874837
scaffold_1,4052886,4080664,4066942,25000,0.000803,0.000802,0.00763,0.817496
scaffold_1,4080665,4106307,4093620,25000,0.001302,0.001331,0.009501,0.765953
scaffold_1,4106308,4131810,4119035,25000,0.001251,0.001241,0.014939,0.852615
scaffold_1,4131811,4168724,4150248,25000,0.001124,0.001158,0.01251,0.839868
scaffold_1,4168725,4203260,4183300,25000,0.000563,0.000657,0.008423,0.868631
scaffold_1,4203261,4234880,4216294,25000,0.000881,0.000797,0.010993,0.863429
scaffold_1,4234881,4261829,4248455,25000,0.001358,0.001448,0.01365,0.820136
scaffold_1,4261830,4299021,4284876,25000,0.000482,0.000438,0.007309,0.886088
scaffold_1,4299022,4324508,4311755,25000,0.001293,0.001282,0.011058,0.799807
scaffold_1,4324509,4354414,4341444,25000,0.001604,0.000919,0.006632,0.687106
scaffold_1,4354415,4380810,4367774,25000,0.000984,0.000999,0.015042,0.881155
scaffold_1,4380811,4406597,4393568,25000,0.000919,0.000752,0.011473,0.867896
scaffold_1,4406598,4432026,4419273,25000,0.000887,0.000852,0.009368,0.837268
scaffold_1,4432027,4478870,4462240,25000,0.001385,0.001231,0.008998,0.755819
scaffold_1,4478871,4555655,4541428,25000,0.000912,0.000987,0.00883,0.812904
scaffold_1,4555656,4581925,4568926,25000,0.000676,0.000741,0.013989,0.907959
scaffold_1,4581926,4607713,4594941,25000,0.000815,0.000839,0.011687,0.873547
scaffold_1,4607714,4635649,4621959,25000,0.000634,0.00071,0.012679,0.903819
scaffold_1,4635650,4661022,4648322,25000,0.000931,0.000895,0.009508,0.832129
scaffold_1,4661023,4688552,4675439,25000,0.000964,0.001097,0.013154,0.861019
scaffold_1,4688553,4714217,4701438,25000,0.001318,0.001516,0.005663,0.612072
scaffold_1,4714218,4740972,4727652,25000,0.000989,0.001108,0.008385,0.783155
scaffold_1,4740973,4766585,4753814,25000,0.001097,0.001186,0.013773,0.850993
scaffold_1,4766586,4791912,4779248,25000,0.001076,0.001119,0.009476,0.800707
scaffold_1,4791913,4817375,4804599,25000,0.00117,0.001182,0.01254,0.835681
scaffold_1,4817376,4842632,4830089,25000,0.000995,0.000817,0.008366,0.812598
scaffold_1,4842633,4874469,4860666,25000,0.00091,0.000857,0.011251,0.858309
scaffold_1,4874470,4912834,4887356,25000,0.001207,0.001204,0.013302,0.840776
scaffold_1,4912835,4945916,4931896,25000,0.00202,0.001912,0.007828,0.610827
scaffold_1,4945917,4972855,4959517,25000,0.00152,0.001482,0.008418,0.708044
scaffold_1,4972856,4999163,4986016,25000,0.001209,0.001251,0.012954,0.833822
scaffold_1,4999164,5024969,5012116,25000,0.000904,0.000899,0.017286,0.905362
scaffold_1,5024970,5051433,5038485,25000,0.002975,0.002994,0.01214,0.6175
scaffold_1,5051434,5077279,5064402,25000,0.001297,0.001356,0.007538,0.711352
scaffold_1,5077280,5130383,5098505,25000,0.00132,0.001388,0.007367,0.698802
scaffold_1,5130384,5157732,5143778,25000,0.000771,0.000833,0.009625,0.85267
scaffold_1,5157733,5185295,5171495,25000,0.000589,0.000616,0.010349,0.894175
scaffold_1,5185296,5213706,5200083,25000,0.001217,0.001455,0.00731,0.701789
scaffold_1,5213707,5239010,5226386,25000,0.002931,0.002649,0.010016,0.576829
scaffold_1,5239011,5264611,5251921,25000,0.00062,0.000685,0.012102,0.904111
scaffold_1,5264612,5290180,5277431,25000,0.00113,0.001119,0.011726,0.832332
scaffold_1,5290181,5315700,5302979,25000,0.001619,0.001657,0.011724,0.764205
scaffold_1,5315701,5341232,5328430,25000,0.001183,0.001155,0.015718,0.867523
scaffold_1,5341233,5368266,5355014,25000,0.001587,0.001662,0.01293,0.785537
scaffold_1,5368267,5394693,5381679,25000,0.001091,0.001089,0.02168,0.908574
scaffold_1,5394694,5420778,5407669,25000,0.001615,0.001444,0.017749,0.845504
scaffold_1,5420779,5454337,5437959,25000,0.001138,0.000695,0.010962,0.852287
