#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Hrs.ref_sa	scaffold_17	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	27916	10624	81	0	41	110	259.1219512195122	2	1717	10624	59627	66283.0243902439	186	252583	2717604	10705	10705	10624	0.9924334423166744	0.9924334423166744	69179
Hrs.ref_sa	scaffold_18	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	51721	12152	274	0	41	145	296.390243902439	2	1747	12152	23897	40438.756097560974	422	238264	1657989	12426	12426	12152	0.9779494608079833	0.9779494608079833	0
Hrs.ref_sa	scaffold_19	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	51121	17033	245	0	28	353.0	608.3214285714286	3	2330	17033	45372.0	70295.75	3	288313	1968281	17278	17278	17033	0.985820118069221	0.985820118069221	29716
Hrs.ref_sa	scaffold_20	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	22848	9350	29	0	24	119.0	389.5833333333333	2	2347	9350	62548.5	107672.95833333333	1020	452181	2584151	9379	9379	9350	0.9969079859260049	0.9969079859260049	146732
Hrs.ref_sa	scaffold_21	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	26569	7943	105	0	38	101.5	209.02631578947367	2	1086	7943	31779.0	48481.84210526316	146	208178	1842310	8048	8048	7943	0.9869532803180915	0.9869532803180915	30527
Hrs.ref_sa	scaffold_22	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	51160	21877	347	0	33	382	662.939393939394	3	4423	21877	32957	63649.393939393936	567	392901	2100430	22224	22224	21877	0.984386249100072	0.984386249100072	64929
Hrs.ref_sa	scaffold_23	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	40731	14722	431	0	31	312	474.9032258064516	2	1765	14722	63171	64614.77419354839	1887	175225	2003058	15153	15153	14722	0.9715567874348314	0.9715567874348314	63171
Hrs.ref_sa	scaffold_24	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	40477	8183	316	0	39	96	209.82051282051282	2	2306	8183	22182	39242.717948717946	893	282844	1530466	8499	8499	8183	0.9628191551947288	0.9628191551947288	3203
Hrs.ref_sa	scaffold_25	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	21821	7104	21	0	16	162.5	444.0	4	1934	7104	61361.5	121375.5	1950	512480	1942008	7125	7125	7104	0.9970526315789474	0.9970526315789474	123262
Hrs.ref_sa	scaffold_26	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	28854	10039	205	0	26	186.0	386.11538461538464	2	1804	10039	29060.0	66900.0	716	290062	1739400	10244	10244	10039	0.9799882858258493	0.9799882858258493	90784
Hrs.ref_sa	scaffold_27	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	30740	11538	223	0	24	193.0	480.75	2	4183	11538	40766.5	64437.791666666664	1343	306531	1546507	11761	11761	11538	0.9810390272935975	0.9810390272935975	41769
Hrs.ref_sa	scaffold_28	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	32043	9248	397	0	21	224	440.3809523809524	2	2844	9248	31808	47905.52380952381	1	240690	1006016	9645	9645	9248	0.9588387765681701	0.9588387765681701	0
Hrs.ref_sa	scaffold_29	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	22245	4128	18	0	18	57.5	229.33333333333334	3	1073	4128	25338.0	76886.0	1388	262235	1383948	4146	4146	4128	0.9956584659913169	0.9956584659913169	15635
