scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_33,21105,52285,37363,25000,0.000809,0.00065,0.000665,-0.049148,133050,scaffold_33_1
scaffold_33,52286,96593,74876,25000,0.001788,0.001911,0.001684,-0.050022,133050,scaffold_33_1
scaffold_33,207091,242586,224079,25000,0.000986,0.001027,0.000895,-0.06258,314971,scaffold_33_2
scaffold_33,242587,294532,261619,25000,0.001333,0.001032,0.001153,-0.012854,314971,scaffold_33_2
scaffold_33,294533,335089,310407,25000,0.001838,0.001543,0.001466,-0.076046,314971,scaffold_33_2
scaffold_33,335090,462919,425503,25000,0.00147,0.002218,0.001738,-0.031605,314971,scaffold_33_2
scaffold_33,462920,491642,477267,25000,0.001816,0.001579,0.001539,-0.052395,314971,scaffold_33_2
scaffold_33,661482,773337,728180,25000,0.002943,0.002323,0.00448,0.276911,104911,scaffold_33_3
scaffold_33,1137289,1236680,1196255,25000,0.001598,0.002293,0.002026,0.021595,197806,scaffold_33_4
scaffold_33,1236681,1306791,1255151,25000,0.002592,0.002428,0.003106,0.112502,197806,scaffold_33_4
scaffold_35,156738,269767,240126,25000,0.001573,0.001575,0.001616,0.01403,142739,scaffold_35_1
scaffold_35,414636,523555,459000,25000,0.001303,0.001318,0.001191,-0.049454,225277,scaffold_35_2
scaffold_35,523556,556762,538563,25000,0.001851,0.001314,0.001632,-0.007921,225277,scaffold_35_2
scaffold_35,556763,591628,571334,25000,0.002497,0.001186,0.002251,0.06226,225277,scaffold_35_2
scaffold_35,591629,679853,622293,25000,0.001434,0.001616,0.00151,-0.005527,225277,scaffold_35_2
scaffold_35,843080,873591,860683,25000,0.003984,0.000803,0.007072,0.483527,100086,scaffold_35_3
scaffold_35,1378572,1455111,1422945,25000,0.003124,0.000988,0.004076,0.343818,246556,scaffold_35_4
scaffold_35,1455112,1530146,1490092,25000,0.000986,0.001248,0.000991,-0.063981,246556,scaffold_35_4
scaffold_35,1530147,1559560,1545328,25000,0.00402,0.001132,0.004035,0.231937,246556,scaffold_35_4
scaffold_35,1559561,1682979,1599405,25000,0.002013,0.002895,0.002593,0.00407,246556,scaffold_35_4
scaffold_35,1682980,1712703,1696076,25000,0.002186,0.001408,0.001782,-0.004376,382773,scaffold_35_5
scaffold_35,1712704,1812352,1735069,25000,0.002884,0.001465,0.002307,-0.014665,382773,scaffold_35_5
scaffold_35,1812353,1849103,1827622,25000,0.002334,0.003117,0.002785,0.011154,382773,scaffold_35_5
scaffold_35,1849104,1908164,1873156,25000,0.004531,0.003312,0.003446,-0.069125,382773,scaffold_35_5
scaffold_35,1908165,2094571,1960105,14173,0.005093,0.005749,0.007131,0.140946,382773,scaffold_35_5
scaffold_37,97852,148474,131628,25000,0.00285,0.002468,0.002441,-0.045798,139794,scaffold_37_1
scaffold_37,148475,257587,192960,25000,0.001958,0.002011,0.001757,-0.063134,139794,scaffold_37_1
scaffold_37,257588,342822,298652,25000,0.00305,0.001855,0.00272,0.055027,270435,scaffold_37_2
scaffold_37,342823,386086,365219,25000,0.004973,0.00201,0.003375,-0.018077,270435,scaffold_37_2
scaffold_37,386087,428578,404111,25000,0.001779,0.001888,0.001975,0.039406,270435,scaffold_37_2
scaffold_37,428579,539935,469017,25000,0.003383,0.00282,0.003975,0.13054,270435,scaffold_37_2
scaffold_37,539936,574534,559669,25000,0.001643,0.001756,0.001508,-0.063654,221627,scaffold_37_3
scaffold_37,574535,634440,601897,25000,0.0018,0.002829,0.002282,-0.007353,221627,scaffold_37_3
scaffold_37,634441,719345,680820,25000,0.002576,0.002751,0.002477,-0.03874,221627,scaffold_37_3
scaffold_37,795830,890912,856639,25000,0.001537,0.00104,0.001396,0.041184,290499,scaffold_37_4
scaffold_37,890913,973868,954206,25000,0.002121,0.00297,0.002289,-0.056771,290499,scaffold_37_4
scaffold_37,973869,1066183,998101,25000,0.002058,0.002921,0.002295,-0.043364,290499,scaffold_37_4
scaffold_37,1066184,1139553,1104351,25000,0.001762,0.00214,0.001757,-0.055829,290499,scaffold_37_4
scaffold_37,1256030,1291439,1276922,25000,0.001775,0.002539,0.002351,0.045716,204247,scaffold_37_5
scaffold_37,1291440,1344862,1315582,25000,0.00306,0.003633,0.003958,0.088726,204247,scaffold_37_5
